1 2 3 4 5
702 337 349 762 1908
61 518 981 1793 1964
1857 845 340 944 54
644 1323 230 435 718
1192 520 514 1026 1704
1562 590 1773 1951 1673
1969 1651 1582 1613 1831
1045 1082 1790 630 1223
1866 1432 1767 1922 1105
1040 728 1381 1240 1603
540 1611 196 1440 819
1781 737 960 1653 1879
1667 870 360 1941 183
1924 1768 108 1193 1947
962 1497 1129 1337 208
1269 1679 925 524 1232
151 1340 1584 957 1872
761 1755 100 275 1647
1720 327 898 759 160
120 829 30 1992 231
1109 1957 921 1489 1934
1390 770 1541 1778 1044
1390 1666 239 482 1008
987 1260 1276 1953 1030
1493 478 906 1263 1122
1066 487 745 611 1047
1574 1022 32 733 634
695 133 1588 695 1874
1544 1312 1910 736 622
